School	NNP	B-Premise	0	~
memories	NNS	I-Premise	0	~
Everyone	NN	I-Premise	0	~
has	VBZ	I-Premise	0	~
happy	JJ	I-Premise	0	~
moments	NNS	I-Premise	0	~
during	IN	I-Premise	0	~
their	PRP$	I-Premise	0	~
life	NN	I-Premise	0	~
.	.	O	~	~
These	DT	B-Premise	1	~
happy	JJ	I-Premise	1	~
moments	NNS	I-Premise	1	~
are	VBP	I-Premise	1	~
both	CC	I-Premise	1	~
in	IN	I-Premise	1	~
their	PRP$	I-Premise	1	~
childhood	NN	I-Premise	1	~
and	CC	I-Premise	1	~
their	PRP$	I-Premise	1	~
adulthood	NN	I-Premise	1	~
.	.	O	~	~
In	IN	O	~	~
my	PRP$	O	~	~
opinion	NN	O	~	~
,	,	O	~	~
childhood	NN	B-MajorClaim	2	~
is	VBZ	I-MajorClaim	2	~
the	DT	I-MajorClaim	2	~
happiest	JJS	I-MajorClaim	2	~
time	NN	I-MajorClaim	2	~
of	IN	I-MajorClaim	2	~
a	DT	I-MajorClaim	2	~
person	NN	I-MajorClaim	2	~
's	POS	I-MajorClaim	2	~
life	NN	I-MajorClaim	2	~
.	.	O	~	~
First	RB	O	~	~
,	,	O	~	~
in	IN	O	~	~
childhood	NN	B-Claim	3	For:~
most	JJS	I-Claim	3	For:~
people	NNS	I-Claim	3	For:~
are	VBP	I-Claim	3	For:~
happier	JJR	I-Claim	3	For:~
than	IN	I-Claim	3	For:~
in	IN	I-Claim	3	For:~
adulthood	NN	I-Claim	3	For:~
.	.	O	~	~
They	PRP	B-Premise	4	supports:3
do	VBP	I-Premise	4	supports:3
not	RB	I-Premise	4	supports:3
have	VB	I-Premise	4	supports:3
to	TO	I-Premise	4	supports:3
worry	VB	I-Premise	4	supports:3
about	IN	I-Premise	4	supports:3
bills	NNS	I-Premise	4	supports:3
,	,	I-Premise	4	supports:3
jobs	NNS	I-Premise	4	supports:3
,	,	I-Premise	4	supports:3
how	WRB	I-Premise	4	supports:3
would	MD	I-Premise	4	supports:3
their	PRP$	I-Premise	4	supports:3
life	NN	I-Premise	4	supports:3
be	VB	I-Premise	4	supports:3
in	IN	I-Premise	4	supports:3
the	DT	I-Premise	4	supports:3
future	NN	I-Premise	4	supports:3
.	.	O	~	~
They	PRP	B-Claim	5	supports:3
just	RB	I-Claim	5	supports:3
worry	VBP	I-Claim	5	supports:3
about	IN	I-Claim	5	supports:3
two	CD	I-Claim	5	supports:3
things	NNS	I-Claim	5	supports:3
:	:	I-Claim	5	supports:3
