# paragraph 0
# sent
Human	JJ	O	~	~
needs	NNS	O	~	~
vs	CC	O	~	~
saving	VBG	O	~	~
land	NN	O	~	~
for	IN	O	~	~
endangered	VBN	O	~	~
animals	NNS	O	~	~
# paragraph 1
# sent
In	IN	O	~	~
the	DT	O	~	~
past	JJ	O	~	~
centuries	NNS	O	~	~
the	DT	O	~	~
population	NN	O	~	~
steadily	RB	O	~	~
grew	VBD	O	~	~
and	CC	O	~	~
now	RB	O	~	~
,	,	O	~	~
for	IN	O	~	~
the	DT	O	~	~
first	JJ	O	~	~
time	NN	O	~	~
in	IN	O	~	~
history	NN	O	~	~
,	,	O	~	~
is	VBZ	O	~	~
exceeding	VBG	O	~	~
seven	CD	O	~	~
billion	CD	O	~	~
.	.	O	~	~
# sent
As	IN	O	~	~
a	DT	O	~	~
result	NN	O	~	~
more	RBR	O	~	~
and	CC	O	~	~
more	RBR	O	~	~
natural	JJ	O	~	~
environment	NN	O	~	~
had	VBD	O	~	~
to	TO	O	~	~
be	VB	O	~	~
vanished	VBN	O	~	~
to	TO	O	~	~
make	VB	O	~	~
room	NN	O	~	~
for	IN	O	~	~
housing	NN	O	~	~
,	,	O	~	~
feeding	NN	O	~	~
and	CC	O	~	~
industry	NN	O	~	~
.	.	O	~	~
# sent
But	CC	O	~	~
is	VBZ	O	~	~
n't	RB	O	~	~
it	PRP	O	~	~
important	JJ	O	~	~
to	TO	O	~	~
preserve	VB	O	~	~
the	DT	O	~	~
land	NN	O	~	~
to	TO	O	~	~
maintain	VB	O	~	~
the	DT	O	~	~
other	JJ	O	~	~
species	NNS	O	~	~
living	VBG	O	~	~
on	IN	O	~	~
our	PRP$	O	~	~
planet	NN	O	~	~
?	.	O	~	~
# sent
In	IN	O	~	~
my	PRP$	O	~	~
opinion	NN	O	~	~
,	,	O	~	~
we	PRP	B-MajorClaim	0	~
clearly	RB	I-MajorClaim	0	~
have	VBP	I-MajorClaim	0	~
to	TO	I-MajorClaim	0	~
change	VB	I-MajorClaim	0	~
our	PRP$	I-MajorClaim	0	~
attitude	NN	I-MajorClaim	0	~
towards	IN	I-MajorClaim	0	~
the	DT	I-MajorClaim	0	~
environment	NN	I-MajorClaim	0	~
because	IN	O	~	~
of	IN	O	~	~
several	JJ	O	~	~
reasons	NNS	O	~	~
.	.	O	~	~
# paragraph 2
# sent
First	RB	O	~	~
,	,	O	~	~
the	DT	B-Claim	1	For:~
natural	JJ	I-Claim	1	For:~
diversity	NN	I-Claim	1	For:~
is	VBZ	I-Claim	1	For:~
very	RB	I-Claim	1	For:~
important	JJ	I-Claim	1	For:~
for	IN	I-Claim	1	For:~
further	JJ	I-Claim	1	For:~
generations	NNS	I-Claim	1	For:~
.	.	O	~	~
# sent
If	IN	B-Premise	2	supports:1
we	PRP	I-Premise	2	supports:1
do	VBP	I-Premise	2	supports:1
n't	RB	I-Premise	2	supports:1
change	VB	I-Premise	2	supports:1
our	PRP$	I-Premise	2	supports:1
behavior	NN	I-Premise	2	supports:1
we	PRP	I-Premise	2	supports:1
will	MD	I-Premise	2	supports:1
extinct	JJ	I-Premise	2	supports:1
many	JJ	I-Premise	2	supports:1
species	NNS	I-Premise	2	supports:1
living	VBG	I-Premise	2	supports:1
for	IN	I-Premise	2	supports:1
millions	NNS	I-Premise	2	supports:1
of	IN	I-Premise	2	supports:1
years	NNS	I-Premise	2	supports:1
on	IN	I-Premise	2	supports:1
the	DT	I-Premise	2	supports:1
planet	NN	I-Premise	2	supports:1
.	.	O	~	~
# sent
As	IN	B-Premise	3	supports:1
we	PRP	I-Premise	3	supports:1
destroy	VBP	I-Premise	3	supports:1
the	DT	I-Premise	3	supports:1
natural	JJ	I-Premise	3	supports:1
habitat	NN	I-Premise	3	supports:1
,	,	I-Premise	3	supports:1
like	IN	I-Premise	3	supports:1
forests	NNS	I-Premise	3	supports:1
,	,	I-Premise	3	supports:1
jungles	NNS	I-Premise	3	supports:1
and	CC	I-Premise	3	supports:1
lakes	NNS	I-Premise	3	supports:1
,	,	I-Premise	3	supports:1
to	TO	I-Premise	3	supports:1
make	VB	I-Premise	3	supports:1
place	NN	I-Premise	3	supports:1
for	IN	I-Premise	3	supports:1
our	PRP$	I-Premise	3	supports:1
industry	NN	I-Premise	3	supports:1
and	CC	I-Premise	3	supports:1
farmland	NN	I-Premise	3	supports:1
,	,	I-Premise	3	supports:1
we	PRP	I-Premise	3	supports:1
rob	VBP	I-Premise	3	supports:1
the	DT	I-Premise	3	supports:1
ecosystem	NN	I-Premise	3	supports:1
.	.	O	~	~
# sent
To	TO	O	~	~
illustrate	VB	O	~	~
,	,	O	~	~
every	DT	B-Premise	4	supports:5
day	NN	I-Premise	4	supports:5
a	DT	I-Premise	4	supports:5
massive	JJ	I-Premise	4	supports:5
part	NN	I-Premise	4	supports:5
of	IN	I-Premise	4	supports:5
the	DT	I-Premise	4	supports:5
Rainforest	NN	I-Premise	4	supports:5
in	IN	I-Premise	4	supports:5
South	NNP	I-Premise	4	supports:5
America	NNP	I-Premise	4	supports:5
is	VBZ	I-Premise	4	supports:5
destroyed	VBN	I-Premise	4	supports:5
to	TO	I-Premise	4	supports:5
provide	VB	I-Premise	4	supports:5
wood	NN	I-Premise	4	supports:5
and	CC	I-Premise	4	supports:5
farmland	NN	I-Premise	4	supports:5
.	.	O	~	~
# sent
If	IN	B-Premise	5	supports:6
we	PRP	I-Premise	5	supports:6
do	VBP	I-Premise	5	supports:6
n't	RB	I-Premise	5	supports:6
preserve	VB	I-Premise	5	supports:6
this	DT	I-Premise	5	supports:6
important	JJ	I-Premise	5	supports:6
part	NN	I-Premise	5	supports:6
of	IN	I-Premise	5	supports:6
our	PRP$	I-Premise	5	supports:6
ecosystem	NN	I-Premise	5	supports:6
many	JJ	I-Premise	5	supports:6
endangered	JJ	I-Premise	5	supports:6
animals	NNS	I-Premise	5	supports:6
will	MD	I-Premise	5	supports:6
loose	VB	I-Premise	5	supports:6
their	PRP$	I-Premise	5	supports:6
natural	JJ	I-Premise	5	supports:6
habitat	NN	I-Premise	5	supports:6
and	CC	I-Premise	5	supports:6
go	VB	I-Premise	5	supports:6
extinct	JJ	I-Premise	5	supports:6
.	.	O	~	~
# sent
As	IN	O	~	~
a	DT	O	~	~
result	NN	O	~	~
,	,	O	~	~
further	JJ	B-Premise	6	supports:1
generations	NNS	I-Premise	6	supports:1
will	MD	I-Premise	6	supports:1
never	RB	I-Premise	6	supports:1
have	VB	I-Premise	6	supports:1
the	DT	I-Premise	6	supports:1
opportunity	NN	I-Premise	6	supports:1
to	TO	I-Premise	6	supports:1
see	VB	I-Premise	6	supports:1
and	CC	I-Premise	6	supports:1
study	VB	I-Premise	6	supports:1
these	DT	I-Premise	6	supports:1
animals	NNS	I-Premise	6	supports:1
.	.	O	~	~
# paragraph 3
# sent
In	IN	O	~	~
addition	NN	O	~	~
,	,	O	~	~
a	DT	B-Claim	7	For:~
stable	JJ	I-Claim	7	For:~
and	CC	I-Claim	7	For:~
sustainable	JJ	I-Claim	7	For:~
environment	NN	I-Claim	7	For:~
is	VBZ	I-Claim	7	For:~
essential	JJ	I-Claim	7	For:~
for	IN	I-Claim	7	For:~
the	DT	I-Claim	7	For:~
weather	NN	I-Claim	7	For:~
.	.	O	~	~
# sent
Our	PRP$	B-Premise	8	supports:7
behavior	NN	I-Premise	8	supports:7
causes	VBZ	I-Premise	8	supports:7
pollution	NN	I-Premise	8	supports:7
,	,	I-Premise	8	supports:7
which	WDT	I-Premise	8	supports:7
heavily	RB	I-Premise	8	supports:7
affects	VBZ	I-Premise	8	supports:7
the	DT	I-Premise	8	supports:7
weather	NN	I-Premise	8	supports:7
conditions	NNS	I-Premise	8	supports:7
on	IN	I-Premise	8	supports:7
planet	NN	I-Premise	8	supports:7
Earth	NNP	I-Premise	8	supports:7
and	CC	I-Premise	8	supports:7
causes	VBZ	I-Premise	8	supports:7
the	DT	I-Premise	8	supports:7
undoubtedly	RB	I-Premise	8	supports:7
Global	JJ	I-Premise	8	supports:7
Warming	NN	I-Premise	8	supports:7
.	.	O	~	~
# sent
This	DT	B-Premise	9	supports:7
not	RB	I-Premise	9	supports:7
only	RB	I-Premise	9	supports:7
affects	VBZ	I-Premise	9	supports:7
the	DT	I-Premise	9	supports:7
endangered	JJ	I-Premise	9	supports:7
animals	NNS	I-Premise	9	supports:7
,	,	I-Premise	9	supports:7
but	CC	I-Premise	9	supports:7
also	RB	I-Premise	9	supports:7
the	DT	I-Premise	9	supports:7
humans	NNS	I-Premise	9	supports:7
because	IN	O	~	~
we	PRP	B-Premise	10	supports:9
are	VBP	I-Premise	10	supports:9
affected	VBN	I-Premise	10	supports:9
by	IN	I-Premise	10	supports:9
the	DT	I-Premise	10	supports:9
increasing	VBG	I-Premise	10	supports:9
sea	NN	I-Premise	10	supports:9
level	NN	I-Premise	10	supports:9
and	CC	I-Premise	10	supports:9
the	DT	I-Premise	10	supports:9
climatic	JJ	I-Premise	10	supports:9
changes	NNS	I-Premise	10	supports:9
.	.	O	~	~
# sent
For	IN	O	~	~
example	NN	O	~	~
,	,	O	~	~
recent	JJ	B-Premise	11	supports:7
studies	NNS	I-Premise	11	supports:7
from	IN	I-Premise	11	supports:7
the	DT	I-Premise	11	supports:7
United	NNP	I-Premise	11	supports:7
Nations	NNP	I-Premise	11	supports:7
Organization	NNP	I-Premise	11	supports:7
have	VBP	I-Premise	11	supports:7
shown	VBN	I-Premise	11	supports:7
that	IN	I-Premise	11	supports:7
,	,	I-Premise	11	supports:7
till	IN	I-Premise	11	supports:7
2050	CD	I-Premise	11	supports:7
the	DT	I-Premise	11	supports:7
sea	NN	I-Premise	11	supports:7
level	NN	I-Premise	11	supports:7
will	MD	I-Premise	11	supports:7
increase	VB	I-Premise	11	supports:7
over	IN	I-Premise	11	supports:7
one	CD	I-Premise	11	supports:7
meter	NN	I-Premise	11	supports:7
in	IN	I-Premise	11	supports:7
the	DT	I-Premise	11	supports:7
average	NN	I-Premise	11	supports:7
.	.	O	~	~
# sent
This	DT	B-Premise	12	supports:7
will	MD	I-Premise	12	supports:7
dramaticly	RB	I-Premise	12	supports:7
affect	VB	I-Premise	12	supports:7
all	DT	I-Premise	12	supports:7
people	NNS	I-Premise	12	supports:7
living	VBG	I-Premise	12	supports:7
near	IN	I-Premise	12	supports:7
the	DT	I-Premise	12	supports:7
coast	NN	I-Premise	12	supports:7
and	CC	I-Premise	12	supports:7
change	VB	I-Premise	12	supports:7
the	DT	I-Premise	12	supports:7
global	JJ	I-Premise	12	supports:7
climate	NN	I-Premise	12	supports:7
.	.	O	~	~
# paragraph 4
# sent
In	IN	O	~	~
conclusion	NN	O	~	~
,	,	O	~	~
there	EX	O	~	~
is	VBZ	O	~	~
to	TO	O	~	~
say	VB	O	~	~
that	IN	O	~	~
,	,	O	~	~
given	VBN	O	~	~
the	DT	O	~	~
arguments	NNS	O	~	~
above	IN	O	~	~
,	,	O	~	~
we	PRP	B-MajorClaim	13	~
definitely	RB	I-MajorClaim	13	~
have	VBP	I-MajorClaim	13	~
to	TO	I-MajorClaim	13	~
change	VB	I-MajorClaim	13	~
our	PRP$	I-MajorClaim	13	~
behavior	NN	I-MajorClaim	13	~
towards	IN	I-MajorClaim	13	~
the	DT	I-MajorClaim	13	~
environment	NN	I-MajorClaim	13	~
,	,	I-MajorClaim	13	~
not	RB	I-MajorClaim	13	~
only	RB	I-MajorClaim	13	~
to	TO	I-MajorClaim	13	~
preserve	VB	I-MajorClaim	13	~
the	DT	I-MajorClaim	13	~
endangered	VBN	I-MajorClaim	13	~
animals	NNS	I-MajorClaim	13	~
but	CC	I-MajorClaim	13	~
also	RB	I-MajorClaim	13	~
to	TO	I-MajorClaim	13	~
preserve	VB	I-MajorClaim	13	~
our	PRP$	I-MajorClaim	13	~
own	JJ	I-MajorClaim	13	~
living	NN	I-MajorClaim	13	~
conditions	NNS	I-MajorClaim	13	~
.	.	O	~	~
