Non	JJ	B-Premise	0	~
academic	JJ	I-Premise	0	~
subjects	NNS	I-Premise	0	~
should	MD	O	~	~
be	VB	O	~	~
removed	VBN	O	~	~
from	IN	B-Premise	1	~
syllabus	NN	I-Premise	1	~
Students	NNS	I-Premise	1	~
have	VBP	I-Premise	1	~
become	VBN	I-Premise	1	~
more	RBR	I-Premise	1	~
and	CC	I-Premise	1	~
more	RBR	O	~	~
stressed	JJ	O	~	~
during	IN	O	~	~
the	DT	O	~	~
last	JJ	O	~	~
few	JJ	O	~	~
years	NNS	O	~	~
due	JJ	O	~	~
to	TO	O	~	~
the	DT	O	~	~
increase	NN	O	~	~
in	IN	O	~	~
academic	JJ	O	~	~
tasks	NNS	O	~	~
assigned	VBN	O	~	~
by	IN	B-Premise	2	~
their	PRP$	I-Premise	2	~
teachers	NNS	I-Premise	2	~
to	TO	I-Premise	2	~
improve	VB	I-Premise	2	~
their	PRP$	I-Premise	2	~
academic	JJ	I-Premise	2	~
success	NN	I-Premise	2	~
.	.	O	~	~
While	IN	O	~	~
some	DT	O	~	~
people	NNS	O	~	~
believe	VBP	O	~	~
that	IN	O	~	~
non-academic	JJ	O	~	~
subjects	NNS	O	~	~
should	MD	O	~	~
be	VB	O	~	~
completely	RB	O	~	~
removed	VBN	O	~	~
,	,	O	~	~
I	PRP	O	~	~
strongly	RB	O	~	~
disagree	VBP	O	~	~
with	IN	O	~	~
that	DT	O	~	~
.	.	O	~	~
To	TO	O	~	~
begin	VB	O	~	~
with	IN	O	~	~
,	,	O	~	~
from	IN	O	~	~
the	DT	O	~	~
health	NN	O	~	~
point	NN	O	~	~
of	IN	O	~	~
view	NN	O	~	~
,	,	O	~	~
schools	NNS	B-Claim	3	supports:7
should	MD	I-Claim	3	supports:7
not	RB	I-Claim	3	supports:7
only	RB	I-Claim	3	supports:7
deliver	VB	I-Claim	3	supports:7
academic	JJ	I-Claim	3	supports:7
subjects	NNS	I-Claim	3	supports:7
.	.	I-Claim	3	supports:7
If	IN	I-Claim	3	supports:7
physical	JJ	I-Claim	3	supports:7
education	NN	I-Claim	3	supports:7
is	VBZ	O	~	~
removed	VBN	O	~	~
from	IN	B-Premise	4	supports:7
the	DT	I-Premise	4	supports:7
syllabus	NN	O	~	~
,	,	O	~	~
there	EX	B-Claim	5	supports:7
will	MD	I-Claim	5	supports:7
be	VB	I-Claim	5	supports:7
considerable	JJ	I-Claim	5	supports:7
negative	JJ	I-Claim	5	supports:7
effects	NNS	I-Claim	5	supports:7
on	IN	I-Claim	5	supports:7
students	NNS	I-Claim	5	supports:7
'	POS	I-Claim	5	supports:7
health	NN	I-Claim	5	supports:7
.	.	O	~	~
For	IN	O	~	~
instance	NN	O	~	~
,	,	O	~	~
after	IN	B-Premise	6	supports:7
studying	VBG	I-Premise	6	supports:7
and	CC	I-Premise	6	supports:7
sitting	VBG	I-Premise	6	supports:7
in	IN	I-Premise	6	supports:7
the	DT	I-Premise	6	supports:7
classroom	NN	I-Premise	6	supports:7
for	IN	I-Premise	6	supports:7
the	DT	I-Premise	6	supports:7
whole	JJ	I-Premise	6	supports:7
morning	NN	I-Premise	6	supports:7
,	,	I-Premise	6	supports:7
it	PRP	I-Premise	6	supports:7
is	VBZ	I-Premise	6	supports:7
better	RBR	I-Premise	6	supports:7
for	IN	I-Premise	6	supports:7
students	NNS	I-Premise	6	supports:7
to	TO	I-Premise	6	supports:7
do	VB	I-Premise	6	supports:7
some	DT	I-Premise	6	supports:7
outdoor	JJ	I-Premise	6	supports:7
activities	NNS	I-Premise	6	supports:7
,	,	I-Premise	6	supports:7
such	JJ	I-Premise	6	supports:7
as	IN	I-Premise	6	supports:7
stretching	VBG	I-Premise	6	supports:7
,	,	I-Premise	6	supports:7
jogging	NN	I-Premise	6	supports:7
and	CC	I-Premise	6	supports:7
playing	VBG	I-Premise	6	supports:7
ball	NN	I-Premise	6	supports:7
games	NNS	I-Premise	6	supports:7
,	,	I-Premise	6	supports:7
in	IN	I-Premise	6	supports:7
order	NN	I-Premise	6	supports:7
to	TO	I-Premise	6	supports:7
improve	VB	I-Premise	6	supports:7
their	PRP$	I-Premise	6	supports:7
learning	NN	I-Premise	6	supports:7
ability	NN	I-Premise	6	supports:7
during	IN	I-Premise	6	supports:7
the	DT	I-Premise	6	supports:7
afternoon	NN	I-Premise	6	supports:7
classes	NNS	I-Premise	6	supports:7
.	.	O	~	~
Removing	VBG	B-Claim	7	For:~
physical	JJ	I-Claim	7	For:~
classes	NNS	I-Claim	7	For:~
from	IN	I-Claim	7	For:~
school	NN	I-Claim	7	For:~
education	NN	I-Claim	7	For:~
will	MD	I-Claim	7	For:~
not	RB	I-Claim	7	For:~
only	RB	I-Claim	7	For:~
be	VB	I-Claim	7	For:~
harmful	JJ	I-Claim	7	For:~
to	TO	I-Claim	7	For:~
young	JJ	I-Claim	7	For:~
people	NNS	I-Claim	7	For:~
's	POS	I-Claim	7	For:~
health	NN	I-Claim	7	For:~
,	,	I-Claim	7	For:~
it	PRP	I-Claim	7	For:~
will	MD	I-Claim	7	For:~
also	RB	I-Claim	7	For:~
decrease	VB	I-Claim	7	For:~
their	PRP$	I-Claim	7	For:~
learning	NN	I-Claim	7	For:~
capability	NN	I-Claim	7	For:~
.	.	O	~	~
In	IN	O	~	~
addition	NN	O	~	~
,	,	O	~	~
schools	NNS	B-Premise	8	supports:~
are	VBP	I-Premise	8	supports:~
responsible	JJ	I-Premise	8	supports:~
for	IN	I-Premise	8	supports:~
developing	VBG	I-Premise	8	supports:~
their	PRP$	I-Premise	8	supports:~
students	NNS	I-Premise	8	supports:~
into	IN	I-Premise	8	supports:~
well-rounded	JJ	I-Premise	8	supports:~
people	NNS	I-Premise	8	supports:~
.	.	O	~	~
It	PRP	B-Premise	9	supports:~
is	VBZ	I-Premise	9	supports:~
more	RBR	I-Premise	9	supports:~
important	JJ	I-Premise	9	supports:~
for	IN	I-Premise	9	supports:~
a	DT	I-Premise	9	supports:~
person	NN	I-Premise	9	supports:~
to	TO	I-Premise	9	supports:~
success	NN	I-Premise	9	supports:~
in	IN	I-Premise	9	supports:~
